Name,Address,Phone,City,Brand,Source
Honda Muzaffarpur Motors #5,"Muzaffarpur Main Road, Near Bus Stand",+91-66-XXX5XXX,Muzaffarpur,,BiharAutoDB
Maruti Purnia Motors #1,"Purnia Main Road, Near Bus Stand",+91-62-XXX1XXX,Purnia,,BiharAutoDB
Hyundai Purnia Motors #2,"Purnia Main Road, Near Bus Stand",+91-63-XXX2XXX,Purnia,,BiharAutoDB
Mahindra Purnia Motors #3,"Purnia Main Road, Near Bus Stand",+91-64-XXX3XXX,Purnia,,BiharAutoDB
Tata Purnia Motors #4,"Purnia Main Road, Near Bus Stand",+91-65-XXX4XXX,Purnia,,BiharAutoDB
Honda Purnia Motors #5,"Purnia Main Road, Near Bus Stand",+91-66-XXX5XXX,Purnia,,BiharAutoDB
Maruti Gaya Motors #1,"Gaya Main Road, Near Bus Stand",+91-62-XXX1XXX,Gaya,,BiharAutoDB
Hyundai Gaya Motors #2,"Gaya Main Road, Near Bus Stand",+91-63-XXX2XXX,Gaya,,BiharAutoDB
Mahindra Gaya Motors #3,"Gaya Main Road, Near Bus Stand",+91-64-XXX3XXX,Gaya,,BiharAutoDB
Tata Gaya Motors #4,"Gaya Main Road, Near Bus Stand",+91-65-XXX4XXX,Gaya,,BiharAutoDB
Honda Gaya Motors #5,"Gaya Main Road, Near Bus Stand",+91-66-XXX5XXX,Gaya,,BiharAutoDB
Maruti Bhagalpur Motors #1,"Bhagalpur Main Road, Near Bus Stand",+91-62-XXX1XXX,Bhagalpur,,BiharAutoDB
Hyundai Bhagalpur Motors #2,"Bhagalpur Main Road, Near Bus Stand",+91-63-XXX2XXX,Bhagalpur,,BiharAutoDB
Mahindra Bhagalpur Motors #3,"Bhagalpur Main Road, Near Bus Stand",+91-64-XXX3XXX,Bhagalpur,,BiharAutoDB
Tata Bhagalpur Motors #4,"Bhagalpur Main Road, Near Bus Stand",+91-65-XXX4XXX,Bhagalpur,,BiharAutoDB
Honda Bhagalpur Motors #5,"Bhagalpur Main Road, Near Bus Stand",+91-66-XXX5XXX,Bhagalpur,,BiharAutoDB
Maruti Darbhanga Motors #1,"Darbhanga Main Road, Near Bus Stand",+91-62-XXX1XXX,Darbhanga,,BiharAutoDB
Hyundai Darbhanga Motors #2,"Darbhanga Main Road, Near Bus Stand",+91-63-XXX2XXX,Darbhanga,,BiharAutoDB
Mahindra Darbhanga Motors #3,"Darbhanga Main Road, Near Bus Stand",+91-64-XXX3XXX,Darbhanga,,BiharAutoDB
Tata Darbhanga Motors #4,"Darbhanga Main Road, Near Bus Stand",+91-65-XXX4XXX,Darbhanga,,BiharAutoDB
Honda Darbhanga Motors #5,"Darbhanga Main Road, Near Bus Stand",+91-66-XXX5XXX,Darbhanga,,BiharAutoDB
Maruti Chhapra Motors #1,"Chhapra Main Road, Near Bus Stand",+91-62-XXX1XXX,Chhapra,,BiharAutoDB
Hyundai Chhapra Motors #2,"Chhapra Main Road, Near Bus Stand",+91-63-XXX2XXX,Chhapra,,BiharAutoDB
Mahindra Chhapra Motors #3,"Chhapra Main Road, Near Bus Stand",+91-64-XXX3XXX,Chhapra,,BiharAutoDB
Tata Chhapra Motors #4,"Chhapra Main Road, Near Bus Stand",+91-65-XXX4XXX,Chhapra,,BiharAutoDB
Honda Chhapra Motors #5,"Chhapra Main Road, Near Bus Stand",+91-66-XXX5XXX,Chhapra,,BiharAutoDB
Maruti Katihar Motors #1,"Katihar Main Road, Near Bus Stand",+91-62-XXX1XXX,Katihar,,BiharAutoDB
Hyundai Katihar Motors #2,"Katihar Main Road, Near Bus Stand",+91-63-XXX2XXX,Katihar,,BiharAutoDB
Mahindra Katihar Motors #3,"Katihar Main Road, Near Bus Stand",+91-64-XXX3XXX,Katihar,,BiharAutoDB
Tata Katihar Motors #4,"Katihar Main Road, Near Bus Stand",+91-65-XXX4XXX,Katihar,,BiharAutoDB
Honda Katihar Motors #5,"Katihar Main Road, Near Bus Stand",+91-66-XXX5XXX,Katihar,,BiharAutoDB
